国家,球员,availability,note
日本,久保建英,0.5,vs荷兰左膝受伤 缺vs突尼斯 战瑞典成疑
日本,远藤航,0.7,利物浦 6月9日才首次合练
日本,三笘薰,0.0,5月9日肌肉撕裂 落选大名单
日本,南野拓实,0.0,12月ACL断裂 落选大名单
日本,富安健洋,1.0,阿贾克斯主力
日本,镰田大地,1.0,水晶宫
日本,堂安律,1.0,法兰克福
日本,伊东纯也,0.95,亨克
日本,上田绮世,1.0,费耶诺德
日本,板仓滉,1.0,阿贾克斯
日本,伊藤洋辉,0.95,拜仁
日本,前田大然,0.95,凯尔特人
荷兰,维吉尔·范戴克,1.0,利物浦队长
荷兰,科迪·加克波,0.95,利物浦
荷兰,孟菲斯·德佩,0.7,科莫 老将
荷兰,弗朗基·德容,0.9,巴萨
荷兰,哈维·西蒙斯,0.95,RB莱比锡
荷兰,蒂贾尼·赖因德斯,0.95,AC米兰
荷兰,斯特凡·德弗赖,0.95,国际米兰
法国,布拉德利·巴尔科拉,0.95,巴黎
法国,德西雷·杜埃,0.95,巴黎
法国,奥雷利安·楚阿梅尼,1.0,皇马后腰
法国,沃伦·扎伊尔-埃梅尼,1.0,巴黎
法国,阿德里安·拉比奥,0.95,马赛
法国,易卜拉希马·科纳特,0.95,利物浦
法国,威廉·萨利巴,1.0,阿森纳
法国,儒勒·孔德,1.0,巴萨
法国,迈克·迈尼昂,1.0,米兰门将
比利时,凯文·德布劳内,0.85,曼城核心 老化但仍强
比利时,罗梅卢·卢卡库,0.95,那不勒斯
比利时,蒂勒曼斯,0.9,阿森纳
比利时,库尔图瓦,1.0,皇马主力门将
葡萄牙,布鲁诺·费尔南德斯,1.0,曼联
葡萄牙,贝尔纳多·席尔瓦,1.0,曼城
葡萄牙,拉斐尔·莱昂,0.95,米兰
葡萄牙,鲁本·迪亚斯,1.0,曼城
葡萄牙,若昂·费利克斯,0.9,巴萨
葡萄牙,努诺·门德斯,1.0,巴黎
墨西哥,劳尔·希门尼斯,0.95,狼队
墨西哥,赫克托·埃雷拉,0.95,马竞
墨西哥,埃德松·阿尔瓦雷斯,1.0,西汉姆
韩国,孙兴慜,0.95,热刺
韩国,李康仁,0.95,巴黎
韩国,黄喜灿,0.95,狼队
韩国,金玟哉,1.0,拜仁
加拿大,乔纳森·大卫,0.95,里尔
加拿大,阿尔方索·戴维斯,0.95,拜仁
加拿大,斯蒂芬·尤斯塔基奥,0.95,拜仁
摩洛哥,阿什拉夫·哈基米,1.0,巴黎
摩洛哥,阿齐兹·布努,1.0,利亚德胜利
摩洛哥,优素福·恩-内斯里,1.0,塞维利亚
摩洛哥,索菲扬·阿姆拉巴特,0.85,曼联
哥伦比亚,路易斯·迪亚斯,0.95,利物浦
哥伦比亚,哈梅斯·罗德里格斯,0.85,巴列卡诺
塞内加尔,萨迪奥·马内,0.7,利雅得胜利 老化
塞内加尔,伊德里萨·盖耶,0.9,埃弗顿
塞内加尔,库利巴利,0.95,利雅得胜利
瑞士,曼努埃尔·阿坎吉,1.0,曼城
瑞士,格拉尼特·扎卡,0.95,勒沃库森
瑞士,丹尼斯·扎卡里亚,0.95,切尔西
沙特,萨利赫·谢赫里,0.9,吉达联合
